Id,AUrl,BUrl
0,www.allmusic.com/artist/sufjan-stevens-mn0000580300,www.rollingstone.com/music/artists/sufjan-stevens
1,www.imdb.com/name/nm0346360,https://www.fandor.com/filmmakers/director-jose-luis-guerin-661
2,www.imdb.com/name/nm1017334,https://www.linkedin.com/in/juno-temple-32152375
3,https://www.linkedin.com/in/kathywolfe,https://twitter.com/RepWolfeMoore
4,https://www.linkedin.com/in/mipetersen,https://www.researchgate.net/profile/Mikael_Petersen
5,https://www.travelchinaguide.com/attraction/hebei/qinhuangdao/beidaihe.htm,https://www.tripadvisor.com/Attraction_Review-g297430-d503339...
6,https://twitter.com/LeClairRyan,https://commercialobserver.com/tag/leclairryan
7,https://au.linkedin.com/in/marcelo-abud-33982013,https://in.linkedin.com/in/marcelo-aq-534a8128
8,www.imdb.com/name/nm0767741,https://twitter.com/THETomSavini
9,www.imdb.com/name/nm0682998,https://www.linkedin.com/in/andrew-pifko-0b364a11
10,https://www.linkedin.com/in/anthony-duruji-597342100,www.scout.com/player/207724-anthony-duruji
11,https://twitter.com/susannecraig,topics.nytimes.com/top/reference/timestopics/people/c/susanne_craig
12,www.imdb.com/name/nm0229424,projects.latimes.com/hollywood/star-walk/edward-dmytryk
13,www.goldmanprize.org/recipient/laila-iskandar-kamel,https://www.linkedin.com/in/laila-iskandar-2212b4b5
14,https://www.linkedin.com/in/lucy-mckenzie-6805192a,www.artnet.com/artists/lucy-mckenzie
15,https://www.linkedin.com/in/jctolla,https://www.researchgate.net/profile/John_Tolla
16,247sports.com/Player/Rodney-Adams-16809,https://www.realestate.com.au/agent/rodney-adams-378076
17,www.imdb.com/name/nm4521673,https://www.linkedin.com/in/jeffrey-wasserburger-93330b27
18,https://www.linkedin.com/in/rbehnke,https://www.researchgate.net/profile/Rob_Behnke
19,https://www.linkedin.com/in/emilyfcalhoun,www.imdb.com/name/nm4070208
20,https://www.mylife.com/michele-rutsey/michele_rutsey,https://www.linkedin.com/in/mark-e-rutsey-sra-12a44787
21,https://www.linkedin.com/in/patti-putnicki-03398717,https://www.linkedin.com/companies/patti-putnicki-freelance-writer
22,www.espncricinfo.com/india/content/player/537124.html,www.ndtv.com/topic/gurkeerat-singh-mann
23,www.cnet.com/profiles/wcunning,https://au.linkedin.com/in/wayne-cunningham-7277b144
24,https://www.water.wa.gov.au,sfwater.org/index.aspx?page=163
25,https://www.linkedin.com/in/brian-leonhardt-b4413a86,sports.yahoo.com/nfl/players/27065
26,https://www.linkedin.com/in/gladys-quinto-marrone-jd-cae-503a5633,https://cz.linkedin.com/in/enrico-marrone-5ba21553
27,https://twitter.com/cyrilthereau,www.espnfc.com/player/87322/cyril-thereau
28,https://www.linkedin.com/in/steve-debuhr-ab2034101,www.wherrymortuary.com/notices/Lyle-DeBuhr
29,https://www.linkedin.com/in/the-ethics-centre-6a21b258,https://ethicsinsociety.stanford.edu
30,https://www.linkedin.com/company/eyeka,https://twitter.com/eYeka
31,https://twitter.com/AmirAmirani,www.imdb.com/name/nm2574381
32,https://www.linkedin.com/in/krishna-advani-57284929,www.ndtv.com/topic/lal-krishna-advani
33,https://www.linkedin.com/in/triniti,customerthink.com/author/triniti_burton
34,https://www.linkedin.com/in/mike-althoff-b0829a14,https://twitter.com/schmalthoff
35,https://twitter.com/DmGlm,www.imdb.com/name/nm1035227
36,https://www.aclu.org/bio/mohamed-ahmed-ben-soud,https://www.linkedin.com/in/mohamed-ahmed-30309561
37,https://www.linkedin.com/in/sheriffscottisrael,https://www.healthtap.com/experts/7982791-dr-scott-israel
38,espn.go.com/college-football/player/_/id/530483/shaquille-powell,247sports.com/Player/Shaquille-Powell-39827
39,https://www.linkedin.com/in/ernest-earon-ba7a7b13,www.tedxindianapolis.com/speakers/ernest-earon-phd
40,www.advertisingweek.com,https://twitter.com/AW_Europe
41,https://www.linkedin.com/in/jaleel-robinson-95619689,https://www.washingtonpost.com/pb/allmetsports/broad-run/jaleel-robinson/
42,www.imdb.com/name/nm0193104,https://twitter.com/MARKCURRY
43,cargocollective.com/jirka,https://twitter.com/JirkaVinse
44,https://twitter.com/TylerWardMusic,https://www.linkedin.com/in/tyler-ward-61b17811b
